eto_lead_whatsapp_feedback_response_id,feedback_date,feedback_modref_id,feedback_modref_type,feedback_remarks,fk_buyer_glusr_usr_id,fk_eto_lead_whatsapp_template_id,fk_supplier_glusr_usr_id,im_whatsapp_msg_sent_date,response_flag
310,02/07/24 10:02,107085887485.0,1.0,Not Satisfied,122260064.0,11.0,,02/07/24 10:02,-234.0
311,02/07/24 10:00,107073423975.0,1.0,Satisfied,68823694.0,11.0,,02/07/24 10:00,111.0
312,02/07/24 10:00,107073423975.0,1.0,Not Satisfied,68823694.0,11.0,,02/07/24 10:00,-234.0
313,02/07/24 10:03,107092260763.0,1.0,Satisfied,61554408.0,11.0,,02/07/24 10:03,111.0
314,02/07/24 10:05,107071082995.0,1.0,Not Satisfied,115815323.0,11.0,,02/07/24 10:05,-234.0
315,02/07/24 10:01,107075567763.0,1.0,Satisfied,95620275.0,11.0,,02/07/24 10:01,111.0
317,02/07/24 10:05,107083313859.0,1.0,Not Satisfied,27461674.0,11.0,,02/07/24 10:05,-234.0
318,02/07/24 10:03,107092260763.0,1.0,Satisfied,61554408.0,11.0,,02/07/24 10:03,111.0
320,02/07/24 10:04,107077928367.0,1.0,Satisfied,28083937.0,11.0,,02/07/24 10:04,111.0
323,02/07/24 10:05,107082379075.0,1.0,Satisfied,152925124.0,11.0,,02/07/24 10:05,111.0
333,02/07/24 10:05,107091911746.0,1.0,Satisfied,182081081.0,11.0,,02/07/24 10:05,111.0
337,02/07/24 10:02,107096352563.0,1.0,Satisfied,10454959.0,11.0,,02/07/24 10:02,111.0
339,02/07/24 10:05,107097193175.0,1.0,Satisfied,18905238.0,11.0,,02/07/24 10:05,111.0
340,02/07/24 10:05,107083313859.0,1.0,Not Satisfied,27461674.0,11.0,,02/07/24 10:05,-222.0
2072,02/07/24 10:33,107055012063.0,1.0,Not Satisfied,36073193.0,11.0,,02/07/24 10:33,-234.0
2076,02/07/24 10:34,107099668995.0,1.0,Not Satisfied,20487683.0,11.0,,02/07/24 10:34,-234.0
2077,02/07/24 10:31,107036432763.0,1.0,Satisfied,224523217.0,11.0,,02/07/24 10:31,111.0
2079,02/07/24 10:13,107044484152.0,1.0,Not Satisfied,221131475.0,11.0,,02/07/24 10:13,-234.0
2080,02/07/24 10:27,107058836495.0,1.0,Not Satisfied,39680464.0,11.0,,02/07/24 10:27,-345.0
2081,02/07/24 10:13,107044484152.0,1.0,Not Satisfied,221131475.0,11.0,,02/07/24 10:13,-234.0
2085,02/07/24 10:32,107089687963.0,1.0,Satisfied,11987055.0,11.0,,02/07/24 10:32,111.0
2086,02/07/24 10:13,107044484152.0,1.0,Not Satisfied,221131475.0,11.0,,02/07/24 10:13,-234.0
2088,02/07/24 10:17,107078030767.0,1.0,Satisfied,78209008.0,11.0,,02/07/24 10:17,111.0
2089,02/07/24 10:32,107078608195.0,1.0,Not Satisfied,154126721.0,11.0,,02/07/24 10:32,-234.0
2090,02/07/24 10:30,107054693959.0,1.0,Satisfied,43316101.0,11.0,,02/07/24 10:30,111.0
2092,02/07/24 10:34,107099668995.0,1.0,Not Satisfied,20487683.0,11.0,,02/07/24 10:34,-222.0
2093,02/07/24 10:26,107075512863.0,1.0,Not Satisfied,40406468.0,11.0,,02/07/24 10:26,-222.0
2095,02/07/24 10:28,107096232552.0,1.0,Not Satisfied,211797525.0,11.0,,02/07/24 10:28,-234.0
2097,02/07/24 10:17,107054855267.0,1.0,Satisfied,224737717.0,11.0,,02/07/24 10:17,111.0
2099,02/07/24 10:28,107075487452.0,1.0,Satisfied,16678048.0,11.0,,02/07/24 10:28,111.0
2100,02/07/24 10:34,107058017334.0,1.0,Satisfied,36261027.0,11.0,,02/07/24 10:34,111.0
2101,02/07/24 10:28,107075487452.0,1.0,Satisfied,16678048.0,11.0,,02/07/24 10:28,111.0
2102,02/07/24 10:28,107096769913.0,1.0,Not Satisfied,73202139.0,11.0,,02/07/24 10:28,-234.0
2103,02/07/24 10:28,107075487452.0,1.0,Satisfied,16678048.0,11.0,,02/07/24 10:28,111.0
2104,02/07/24 10:32,107094616763.0,1.0,Not Satisfied,89103283.0,11.0,,02/07/24 10:32,-234.0
2109,02/07/24 10:25,107092769734.0,1.0,Not Satisfied,14553837.0,11.0,,02/07/24 10:25,-234.0
2110,02/07/24 10:10,107046462267.0,1.0,Satisfied,192612604.0,11.0,,02/07/24 10:10,111.0
2113,02/07/24 10:31,107079344463.0,1.0,Not Satisfied,222514209.0,11.0,,02/07/24 10:31,-234.0
2119,02/07/24 10:03,107086493175.0,1.0,Not Satisfied,12617939.0,11.0,,02/07/24 10:03,-234.0
2120,02/07/24 10:29,107053444095.0,1.0,Satisfied,30184884.0,11.0,,02/07/24 10:29,111.0
2121,02/07/24 10:27,107057257559.0,1.0,Satisfied,162688597.0,11.0,49847102.0,02/07/24 10:27,333.0
2125,02/07/24 10:27,107073452634.0,1.0,Not Satisfied,85911582.0,11.0,,02/07/24 10:27,-666.0
2126,02/07/24 10:36,107091639785.0,1.0,Satisfied,200175317.0,11.0,,02/07/24 10:36,111.0
2127,02/07/24 10:06,107071000775.0,1.0,Not Satisfied,61817635.0,11.0,,02/07/24 10:06,-666.0
2130,02/07/24 10:29,107065152567.0,1.0,Not Satisfied,57461831.0,11.0,,02/07/24 10:29,-234.0
2136,02/07/24 10:28,107096769913.0,1.0,Not Satisfied,73202139.0,11.0,,02/07/24 10:28,-789.0
2139,02/07/24 10:32,107058700285.0,1.0,Not Satisfied,196310506.0,11.0,,02/07/24 10:32,-234.0
